Lijst bewakingscamera's en ANPR op het grondgebied van Mechelen,
Voor ANPR:  indien dubbel adres betekent dit dat er een ANPR per richting van het verkeer geplaatst is.,
Type,Locatie
ANPR,Antwerpsesteenweg 167
ANPR,Antwerpsesteenweg 167
ANPR,Bankstraat 45
ANPR,Bankstraat 45
ANPR,Battelsesteenweg 464
ANPR,Battelsesteenweg 464
ANPR,Battelsesteenweg 48
ANPR,Battelsesteenweg 48
ANPR,Beethovenstraatje Lamotgebouw
ANPR,Begijnenstraat ‐ zijde Onder den Toren
ANPR,Blaremberglaan t.h.v. containerpark Ri industriezone
ANPR,Brusselsesteenweg 236
ANPR,Brusselsesteenweg 236
ANPR,Brusselsesteenweg 43
ANPR,Brusselsesteenweg 43
ANPR,Brusselsesteenweg ter hoogte van Gemeentegrens Ri Mechelen
ANPR,Brusselsesteenweg ter hoogte van Gemeentegrens Ri Zemst
ANPR,Bruul Fonteinbrug ‐ Vijhoek
ANPR,Caputsteenstraat aan spoorwegbrug‐fietsostrade
ANPR,Caputsteenstraat t.h.v. Telenet/Liersesteenweg
ANPR,De Boucherystraat t.h.v. Munstraat
ANPR,Dorpstraat 25
ANPR,Dorpstraat 25
ANPR,Expoelstraat 37
ANPR,Expoelstraat 37
ANPR,Geerdegemstraat t.h.v. Jubellaan Ri Bxl‐steenweg
ANPR,Geerdegemstraat t.h.v. Jubellaan RI Jubellaan
ANPR,Gijsbeekstraat 64
ANPR,Gijsbeekstraat 64
ANPR,Grote Nieuwendijkstraat 2
ANPR,Grote Nieuwendijkstraat 305
ANPR,Grote Nieuwendijkstraat tussen Boerenkrijg en Vrouwvliet
ANPR,Haverwerf ‐ doorrit naar Lamotplein
ANPR,Hombeeksesteenweg 258
ANPR,Hombeeksesteenweg 258
ANPR,Hombeeksesteenweg 9
ANPR,Hombeeksesteenweg 9
ANPR,Humbeeksesteenweg tussen Vennestraat en Driesstraat Ri Hombeek
ANPR,Humbeeksesteenweg tussen Vennestraat en Driesstraat Ri Humbeek
ANPR,Ijzerenleen met zicht op Lange Schipstraat
ANPR,Ivo Cornelisstraat ‐ Abeelstraat
ANPR,Jubellaan op middenberm aan kruispunt met Tervuursesteenweg richting Hostade
ANPR,Jubellaan op middenberm aan kruispunt met Tervuursesteenweg richting Mechelen
ANPR,Juniorslaan 12
ANPR,Juniorslaan 12
ANPR,Juniorslaan voorbij 3‐sprong ri Kapelle o/d Bos
ANPR,Juniorslaan voorbij 3‐sprong ri Mechelen
ANPR,Kapellebaan tussen gemeentegrens en Witveld Ri Hombeek
ANPR,Kapellebaan tussen gemeentegrens en Witveld Ri Kapelle o/d Bos
ANPR,Kleine Heide achterzijde loods Kapellebaan 34
ANPR,Kleine Heide achterzijde loods Kapellebaan 34
ANPR,Kleine Nieuwendijkstraat aan spoorwegbrug‐fietsostrade
ANPR,Koning Albertstraat 23
ANPR,Koning Albertstraat 23
ANPR,Koning Albertstraat op brug Ri Rumst
ANPR,Koning Albertstraat op brug Ri Walem
ANPR,Koningin Astridlaan middenberm ‐ Korte Heistraat
ANPR,Koningin Astridlaan middenberm ‐ Korte Heistraat
ANPR,Koningin Astridlaan middenberm ‐ Vekestraat
ANPR,Koningin Astridlaan middenberm ‐ Vekestraat
ANPR,Kruisbaan ‐ Pius X‐school
ANPR,Lange Zandstraat gemeentegrens Ri SKW
ANPR,Lange Zandstraat gemeentegrens Ri Walem
ANPR,Leestsesteenweg 75 Ri Leest
ANPR,Leestsesteenweg 75 Ri Mechelen
ANPR,Leuvensesteenweg 609
ANPR,Leuvensesteenweg 609
ANPR,Leuvensesteenweg Planckendael Ri Leuven
ANPR,Leuvensesteenweg Planckendael Ri Mechelen
ANPR,Liersesteenweg ‐ Hospitaal
ANPR,Liersesteenweg ‐ Hospitaal
ANPR,Liersesteenweg‐Caputsteenstraat
ANPR,Liersesteenweg‐Caputsteenstraat
ANPR,Mechelen Zuid E19 tussen  rond punt Technopolis en opritten
ANPR,Mechelen Zuid E19 tussen afrit en rond punt Technopolis
ANPR,Mechelseweg ‐ IN/UITRIT P&G
ANPR,Mechelseweg ‐ IN/UITRIT P&G
ANPR,Mechelseweg 33
ANPR,Mechelseweg 33
ANPR,Merodestraat ‐ Varkensstraatje
ANPR,Mezenstraat ‐ verbindingsweg zorgcentrum
ANPR,N15 250 m voor kruispunt met inrit Nekkerhal
ANPR,N15 250 m voor kruispunt met inrit Nekkerhal Ri Bonheiden
ANPR,N16 ‐ Battelcomplex tussen Blaremberglaan en Battelsesteenweg Ri Battel
ANPR,N16 ‐ Battelcomplex tussen Blaremberglaan en Battelsesteenweg Ri E19
ANPR,N16 Middenberm tussen afrit komende van Brussel en start R6 Ri E19
ANPR,N16 Middenberm tussen afrit komende van Brussel en start R6 Ri Mechelen
ANPR,N16 Zijberm tussen afrit komende van Brussel en start R6 Ri R6
ANPR,Nekkerspoelstraat 1
ANPR,Nekkerspoelstraat 1
ANPR,O. Van Kesbeeckstraat 43
ANPR,O. Van Kesbeeckstraat 43
ANPR,Pastoor De Heuckstraat 14
ANPR,Pastoor De Heuckstraat 14 Ri Mechelen
ANPR,Putsesteenweg voor kruispnt Maanstraat  Ri Mechelen
ANPR,Putsesteenweg voor kruispnt Maanstraat  Ri Mechelen
ANPR,Rijmenanmseweg tussen Ter Doncklaan en Bonheidensteenweg Ri Muizen
